region,date,positivity_rate,test_count
national,2021-11-21,0.11879026122241948,394300
national,2021-11-22,0.11852951317144024,408953
national,2021-11-23,0.11673950470136406,422856
national,2021-11-24,0.11538497448753321,428418
national,2021-11-25,0.11569032788007393,365225
national,2021-11-26,0.11676104406185056,367143
national,2021-11-27,0.12077562781237527,365794
national,2021-11-28,0.12402027956596716,367069
national,2021-11-29,0.1310394678203024,367996
national,2021-11-30,0.13836498395160876,369819
national,2021-12-01,0.14452216315600144,375285
national,2021-12-02,0.1426492583471093,444615
national,2021-12-03,0.14475196172676666,447310
national,2021-12-04,0.14384168422548407,450391
national,2021-12-05,0.14371432263699438,448814
national,2021-12-06,0.1414835564040714,447317
national,2021-12-07,0.13955312611679138,444913
national,2021-12-08,0.13732901530935773,441560
national,2021-12-09,0.13562019758507135,437280
national,2021-12-10,0.1338161858775948,436158
national,2021-12-11,0.1331324400483064,434725
national,2021-12-12,0.13185756859002448,435887
national,2021-12-13,0.1324901451517831,434304
national,2021-12-14,0.1347255369928401,435760
national,2021-12-15,0.13819261363895075,439242
national,2021-12-16,0.14134392139708604,445785
national,2021-12-17,0.14445028838353674,448708
national,2021-12-18,0.14578779549202858,454750
national,2021-12-19,0.14902137740425292,460954
national,2021-12-20,0.15134564172753917,470519
national,2021-12-21,0.15492423854357693,488045
national,2021-12-22,0.15896200361493248,505127
national,2021-12-23,0.16467388475854344,518789
national,2021-12-24,0.16601595067572789,491766
national,2021-12-25,0.1695216028098824,435036
national,2021-12-26,0.178995655045838,437519
national,2021-12-27,0.1973117645992349,441256
national,2021-12-28,0.2220446232543144,440443
national,2021-12-29,0.24944980455069254,442570
national,2021-12-30,0.274187578150039,443058
national,2021-12-31,0.28496637794122615,443905
national,2022-01-01,0.2850173338669137,444794
national,2022-01-02,0.29653953303562963,442946
national,2022-01-03,0.31055231553241075,448385
national,2022-01-04,0.3219264124616965,445782
national,2022-01-05,0.3323738962845495,436367
national,2022-01-06,0.3420575211322099,423879
national,2022-01-07,0.35269178044634536,455925
national,2022-01-08,0.352763320551483,508012
national,2022-01-09,0.3573200794753194,501791
national,2022-01-10,0.3591094953142569,491811
national,2022-01-11,0.35970146142139386,479670
national,2022-01-12,0.35882287868408846,470062
national,2022-01-13,0.3569450298031188,465052
national,2022-01-14,0.35380600717293953,457553
national,2022-01-15,0.3520737592038745,452391
national,2022-01-16,0.350303612166021,445799
national,2022-01-17,0.34960536396730485,441166
national,2022-01-18,0.3520998455415629,443485
national,2022-01-19,0.3563166463894654,447136
national,2022-01-20,0.3641415766895779,453634
national,2022-01-21,0.36976686103962386,460455
national,2022-01-22,0.3722631341649312,465770
national,2022-01-23,0.3738401663558358,475607
national,2022-01-24,0.37586797857662857,484891
national,2022-01-25,0.3748413565730149,487729
national,2022-01-26,0.36971100407558355,485820
national,2022-01-27,0.35946655470079963,481099
national,2022-01-28,0.35000031634157297,474171
national,2022-01-29,0.3441730605285592,469200
national,2022-01-30,0.3383520683162643,464194
national,2022-01-31,0.33010817016896365,454654
national,2022-02-01,0.31869108094275,443511
national,2022-02-02,0.3084980126779049,429724
national,2022-02-03,0.29834830526198036,411214
national,2022-02-04,0.28871399680251764,396562
national,2022-02-05,0.28182974419745016,391552
national,2022-02-06,0.27497245732843917,383042
national,2022-02-07,0.2635566678975369,365595
national,2022-02-08,0.2508093827970543,347487
national,2022-02-09,0.23860799750378034,333304
national,2022-02-10,0.22797386584137744,325704
national,2022-02-11,0.21860907922504483,315115
national,2022-02-12,0.20941585196221266,303382
national,2022-02-13,0.20023465400541351,291493
national,2022-02-14,0.1849086668276909,277391
national,2022-02-15,0.1730787976036051,266734
national,2022-02-16,0.1612816494591937,260352
national,2022-02-17,0.15154469490943395,253351
national,2022-02-18,0.14183131813597258,248859
national,2022-02-19,0.13453737489043358,245285
national,2022-02-20,0.12743089612587893,241629
national,2022-02-21,0.12112258727072232,237594
national,2022-02-22,0.11506784099024042,231055
national,2022-02-23,0.10933284496775,223876
national,2022-02-24,0.10389782853584152,218378
national,2022-02-25,0.09738350968818711,213301
national,2022-02-26,0.09285178467995404,210626
national,2022-02-27,0.08817516703304104,207893
national,2022-02-28,0.08116140832190215,205578
national,2022-03-01,0.07519963317252111,205001
national,2022-03-02,0.06965881890260778,205961
national,2022-03-03,0.06502209769201883,207714
national,2022-03-04,0.06042884062660601,210148
national,2022-03-05,0.05712662990747095,211285
national,2022-03-06,0.05459984335337026,211942
national,2022-03-07,0.05186312003298312,211017
national,2022-03-08,0.04970646350267888,210536
national,2022-03-09,0.04792002057593568,209954
national,2022-03-10,0.04499185866248062,205126
national,2022-03-11,0.04313893820849511,205012
national,2022-03-12,0.041457213564827344,206888
national,2022-03-13,0.04002635717824282,207913
national,2022-03-14,0.03864629130955367,211301
national,2022-03-15,0.03770635838150289,216250
national,2022-03-16,0.03668880059507611,220476
national,2022-03-17,0.037006407131415835,229744
national,2022-03-18,0.036412705176569866,239367
national,2022-03-19,0.03638063128334279,244993
national,2022-03-20,0.03670980836439189,249797
national,2022-03-21,0.03711661192767304,251801
national,2022-03-22,0.03797640908033903,249418
national,2022-03-23,0.03895050695371854,247853
national,2022-03-24,0.04001745741695491,245168
national,2022-03-25,0.04156592309147867,237815
national,2022-03-26,0.042439243148144956,231908
national,2022-03-27,0.04343913756903153,226708
national,2022-03-28,0.044685745670308696,222129
national,2022-03-29,0.04582925552495619,219685
national,2022-03-30,0.04754471275165313,217164
national,2022-03-31,0.049884122404578346,211430
national,2022-04-01,0.052418299386336534,206302
national,2022-04-02,0.05554748947376326,199739
national,2022-04-03,0.05829534253326762,194784
national,2022-04-04,0.06245014606213319,189303
national,2022-04-05,0.06695447963162833,184379
national,2022-04-06,0.07117252094778315,180210
national,2022-04-07,0.07478170513013893,179001
national,2022-04-08,0.07938812666254516,176311
national,2022-04-09,0.08268191386470956,175770
national,2022-04-10,0.08649816695269427,175391
national,2022-04-11,0.09142491129023116,176418
national,2022-04-12,0.09480683059500189,179428
national,2022-04-13,0.09970022028012565,181133
national,2022-04-14,0.1055956876866327,182176
national,2022-04-15,0.10869800108049703,185100
national,2022-04-16,0.11185620315781618,187598
national,2022-04-17,0.11623275003556693,189783
national,2022-04-18,0.12151046859421735,192576
national,2022-04-19,0.127693345090513,192790
national,2022-04-20,0.13412316400520585,193628
national,2022-04-21,0.13968056569061738,194594
national,2022-04-22,0.14681069749455558,196532
national,2022-04-23,0.15088742419180107,197538
national,2022-04-24,0.15409429907723424,197775
national,2022-04-25,0.15908726660790126,199664
national,2022-04-26,0.16276084572294164,203329
national,2022-04-27,0.16668352284493762,207639
national,2022-04-28,0.16844797402830272,211923
national,2022-04-29,0.17054815036693124,213664
national,2022-04-30,0.17201852979030857,215221
national,2022-05-01,0.1756449095749564,217860
national,2022-05-02,0.17983334995602543,220582
national,2022-05-03,0.186051091101126,223444
national,2022-05-04,0.19192329245853318,226627
national,2022-05-05,0.1984545379476994,230093
national,2022-05-06,0.20254302266144147,234760
national,2022-05-07,0.2051314189739669,239349
national,2022-05-08,0.20894849962800693,241940
national,2022-05-09,0.21474696143326483,247156
national,2022-05-10,0.2198850052360159,253055
national,2022-05-11,0.22280473327461417,261130
national,2022-05-12,0.22353720500778998,270219
national,2022-05-13,0.22560230810773585,275897
national,2022-05-14,0.22802475962056312,278518
national,2022-05-15,0.23032127523071608,283682
national,2022-05-16,0.23289639885726615,287381
national,2022-05-17,0.234276480357229,290234
national,2022-05-18,0.23636382415418355,290459
national,2022-05-19,0.2388489805226441,289413
national,2022-05-20,0.240223290965304,291100
national,2022-05-21,0.2389608185844462,294655
national,2022-05-22,0.23983966904657925,295389
national,2022-05-23,0.2414912056756648,297692
national,2022-05-24,0.24104002107249672,299917
national,2022-05-25,0.24098633435993794,302291
national,2022-05-26,0.23915244715043507,306152
national,2022-05-27,0.24044483524183957,296829
national,2022-05-28,0.2417732650004809,291124
national,2022-05-29,0.2396290327655097,286063
national,2022-05-30,0.23099296785832626,244449
national,2022-05-31,0.24370485096207967,257619
national,2022-06-01,0.24865988487192764,262664
national,2022-06-02,0.2531628767767479,263684
national,2022-06-03,0.25285154081687466,279235
national,2022-06-04,0.25318630167350104,288736
national,2022-06-05,0.2556414001036416,297178
national,2022-06-06,0.2617610799391534,339871
national,2022-06-07,0.25473097030945036,328421
national,2022-06-08,0.25016937878022644,324716
national,2022-06-09,0.24488776679514912,326374
national,2022-06-10,0.24287375029063007,322575
national,2022-06-11,0.24085957646323358,319925
national,2022-06-12,0.23920537928242497,316176
national,2022-06-13,0.23653770340479677,312001
national,2022-06-14,0.23681283814283938,305714
national,2022-06-15,0.23990431546577912,300153
