region,date,positivity_rate,test_count
TX,2025-01-09,0.10344827586206896,1218
TX,2025-01-10,0.1043956043956044,1092
TX,2025-01-11,0.11089303238469088,1019
TX,2025-01-12,0.10141987829614604,986
TX,2025-01-13,0.09553478712357218,963
TX,2025-01-14,0.09257375381485249,983
TX,2025-01-15,0.09045725646123261,1006
TX,2025-01-16,0.08538899430740038,1054
TX,2025-01-17,0.0853448275862069,1160
TX,2025-01-18,0.08240343347639485,1165
TX,2025-01-19,0.08135593220338982,1180
TX,2025-01-20,0.0779777206512425,1167
TX,2025-01-21,0.08762420957542909,1107
TX,2025-01-22,0.08512467755803955,1163
TX,2025-01-23,0.08525896414342629,1255
TX,2025-01-24,0.08365608055770721,1291
TX,2025-01-25,0.08003048780487805,1312
TX,2025-01-26,0.08161816891412349,1409
TX,2025-01-27,0.08416458852867831,1604
TX,2025-01-28,0.07887479316050745,1813
TX,2025-01-29,0.07723995880535531,1942
TX,2025-01-30,0.07909875359539789,2086
TX,2025-01-31,0.08283202221193892,2161
TX,2025-02-01,0.08557565063961182,2267
TX,2025-02-02,,
TX,2025-02-03,0.08435314685314685,2288
TX,2025-02-04,0.08492201039861352,2308
TX,2025-02-05,0.0860813704496788,2335
TX,2025-02-06,0.09361329833770779,2286
TX,2025-02-07,0.09412284577993814,2263
TX,2025-02-08,0.09236396890717878,2187
TX,2025-02-09,0.09548693586698337,2105
TX,2025-02-10,0.10046130189646335,1951
TX,2025-02-11,0.1,1830
TX,2025-02-12,0.10729104919976289,1687
TX,2025-02-13,0.10320052253429131,1531
TX,2025-02-14,0.10163468372423597,1407
TX,2025-02-15,0.10220588235294117,1360
TX,2025-02-16,0.09635811836115327,1318
TX,2025-02-17,0.09946442234123948,1307
TX,2025-02-18,0.10513643659711075,1246
TX,2025-02-19,0.1153184165232358,1162
TX,2025-02-20,0.12032085561497326,1122
TX,2025-02-21,0.12345679012345678,1134
TX,2025-02-22,0.1287215411558669,1142
TX,2025-02-23,0.1371527777777778,1152
TX,2025-02-24,0.13796133567662566,1138
TX,2025-02-25,0.13805004314063848,1159
TX,2025-02-26,0.13026211278792693,1259
TX,2025-02-27,0.11702127659574468,1316
TX,2025-02-28,0.1166023166023166,1295
TX,2025-03-01,0.12015810276679842,1265
TX,2025-03-02,0.1163895486935867,1263
TX,2025-03-03,0.10913500404203719,1237
TX,2025-03-04,0.1094017094017094,1170
TX,2025-03-05,0.10773480662983426,1086
TX,2025-03-06,0.12103746397694524,1041
TX,2025-03-07,0.12282398452611218,1034
TX,2025-03-08,0.11957569913211186,1037
TX,2025-03-09,0.11650485436893204,1030
TX,2025-03-10,0.1217564870259481,1002
TX,2025-03-11,0.12412412412412413,999
TX,2025-03-12,0.1290983606557377,976
TX,2025-03-13,0.1228813559322034,944
TX,2025-03-14,0.12127894156560089,907
TX,2025-03-15,0.12401352874859076,887
TX,2025-03-16,0.12385321100917432,872
TX,2025-03-17,0.1326530612244898,882
TX,2025-03-18,0.13216374269005848,855
TX,2025-03-19,0.1430274135876043,839
TX,2025-03-20,0.14439140811455847,838
TX,2025-03-21,0.16090584028605484,839
TX,2025-03-22,0.16947115384615385,832
TX,2025-03-23,0.1813664596273292,805
TX,2025-03-24,0.17783505154639176,776
TX,2025-03-25,0.17906683480453972,793
TX,2025-03-26,0.17532467532467533,770
TX,2025-03-27,0.18972332015810275,759
TX,2025-03-28,0.1891156462585034,735
TX,2025-03-29,0.18620689655172415,725
TX,2025-03-30,0.18410041841004185,717
TX,2025-03-31,0.1904047976011994,667
TX,2025-04-01,0.19206349206349208,630
TX,2025-04-02,0.19,600
TX,2025-04-03,0.19285714285714287,560
TX,2025-04-04,0.1743119266055046,545
TX,2025-04-05,0.17105263157894737,532
TX,2025-04-06,0.17208413001912046,523
TX,2025-04-07,0.1844106463878327,526
TX,2025-04-08,0.1894093686354379,491
TX,2025-04-09,0.18711018711018712,481
TX,2025-04-10,0.18633540372670807,483
TX,2025-04-11,0.178714859437751,498
TX,2025-04-12,0.17782426778242677,478
TX,2025-04-13,0.17864476386036962,487
TX,2025-04-14,0.16237623762376238,505
TX,2025-04-15,0.1743295019157088,522
TX,2025-04-16,0.1721014492753623,552
TX,2025-04-17,0.17142857142857143,560
TX,2025-04-18,0.17803030303030304,528
TX,2025-04-19,0.1774193548387097,558
TX,2025-04-20,0.1760299625468165,534
TX,2025-04-21,0.17757009345794392,535
